[2026-08-23 21:29:48] BACKUP | source=Dev | destination=YourTestTableName_20260823 | result=FAILURE - The TCP/IP connection to the host localhost, port 1433 has failed. Error: "Connection refused: getsockopt. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
[2026-08-25 12:01:38] TEST_CONNECTION | source=Dev | destination=- | result=FAILURE - The TCP/IP connection to the host localhost, port 1433 has failed. Error: "Connection refused: getsockopt. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
[2026-08-25 12:01:44] TEST_CONNECTION | source=Dev | destination=- | result=FAILURE - The TCP/IP connection to the host localhost, port 1433 has failed. Error: "Connection refused: getsockopt. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
[2026-08-25 12:19:27] TEST_CONNECTION | source=Staging | destination=- | result=FAILURE - The connection to the host localhost, named instance sqlexpress failed. Error: "java.net.SocketTimeoutException: Receive timed out". Verify the server and instance names and check that no firewall is blocking UDP traffic to port 1434. For SQL Server 2005 or later, verify that the SQL Server Browser Service is running on the host.
[2026-08-25 12:20:20] TEST_CONNECTION | source=Dev | destination=- | result=FAILURE - The connection to the host localhost, named instance sqlexpress failed. Error: "java.net.SocketTimeoutException: Receive timed out". Verify the server and instance names and check that no firewall is blocking UDP traffic to port 1434. For SQL Server 2005 or later, verify that the SQL Server Browser Service is running on the host.
[2026-08-25 12:23:34] TEST_CONNECTION | source=Dev | destination=- | result=FAILURE - The server sqlexpress is not configured to listen with TCP/IP.
[2026-08-25 12:28:22] TEST_CONNECTION | source=Dev | destination=- | result=FAILURE - Access denied for user 'root'@'localhost' (using password: YES)
[2026-08-25 12:29:18] TEST_CONNECTION | source=Dev | destination=- | result=SUCCESS
[2026-08-25 12:30:05] BACKUP | source=Staging | destination=Customers_20260825 | result=FAILURE - Undeclared variable: Customers_20260825
[2026-08-25 12:30:05] Transfer | source=Dev | destination=Staging | result=failure -Transfer aborted, destination backup failed: Backup failed: Undeclared variable: Customers_20260825
[2026-08-25 12:30:09] BACKUP | source=Staging | destination=Customers_20260825 | result=FAILURE - Undeclared variable: Customers_20260825
[2026-08-25 12:30:09] Transfer | source=Dev | destination=Staging | result=failure -Transfer aborted, destination backup failed: Backup failed: Undeclared variable: Customers_20260825
